ano,emissao
1970,1.047.616
1971,5.493.131
1972,6.211.089
1973,7.081.166
1974,8.213.415
1975,8.808.591
1976,10.128.715
1977,11.307.074
1978,16.371.456
1979,18.376.035
1980,82.426.708
1981,83.548.602
1982,118.057.814
1983,109.434.905
1984,112.568.916
1985,119.853.756
1986,993.012.980
1987,887.746.153
1988,836.042.483
1989,806.415.688
1990,1.549.382.878
1991,1.350.754.510
1992,1.544.430.579
1993,1.626.330.692
1994,1.630.434.547
1995,2.404.408.978
1996,1.779.779.641
1997,1.546.109.477
1998,1.769.082.245
1999,1.781.107.116
2000,1.893.025.027
2001,1.836.637.202
2002,2.040.277.956
2003,2.830.023.693
2004,3.028.424.179
2005,2.226.875.414
2006,1.799.214.422
2007,1.592.468.004
2008,1.801.749.938
2009,1.284.570.373
2010,1.326.710.570
2011,1.326.070.864
2012,1.333.330.301
2013,1.446.916.154
2014,1.350.355.286
2015,1.287.003.433
2016,1.420.574.939
2017,1.323.392.219
